year,state,medianincome,se,footnote
2003,New Mexico,45187,1470,none
2003,New York,55076,1122,none
2003,North Carolina,47985,1211,none
2003,North Dakota,52016,1097,none
2003,Ohio,56019,1197,none
2003,Oklahoma,46213,1005,none
2003,Oregon,53596,1242,none
2003,Pennsylvania,55263,1001,none
2003,Rhode Island,57552,1608,none
2003,South Carolina,49530,1443,none
2003,South Dakota,50873,1292,none
2003,Tennessee,48299,1520,none
2003,Texas,50549,981,none
2003,Utah,63427,1161,none
2003,Vermont,55685,1258,none
2003,Virginia,70516,2012,none
2003,Washington,61152,1796,none
2003,West Virginia,42172,1278,none
2003,Wisconsin,59557,1259,none
2002,United States,55807,183,none
2002,Alabama,49483,1398,none
2002,Alaska,69447,1412,none
2002,Arizona,52287,1320,none
2002,Arkansas,42619,1024,none
2002,California,62424,1008,none
2002,Colorado,63551,1927,none
2002,Connecticut,70253,1803,none
2002,Delaware,65336,2217,none
2002,D.C.,51413,1309,none
2002,Florida,50037,1090,none
2002,Georgia,56505,1457,none
2002,Hawaii,62247,1804,none
2002,Idaho,49630,1475,none
2002,Illinois,56203,1126,none
2002,Indiana,54015,984,none
2002,Iowa,54018,1516,none
2002,Kansas,56084,1378,none
2002,Kentucky,48376,1150,none
2002,Louisiana,44752,1655,none
2002,Maine,48496,1113,none
2002,Maryland,74228,2016,none
2002,Massachusetts,65606,1517,none
2002,Michigan,56210,1467,none
2002,Minnesota,71879,1574,none
2002,Mississippi,40639,1008,none
2002,Missouri,56290,1413,none
2002,Montana,45840,1595,none
2002,Nebraska,56316,1366,none
2002,Nevada,59162,1528,none
2002,New Hampshire,72799,1696,none
2002,New Jersey,71808,2112,none
2002,New Mexico,46659,1396,none
2002,New York,55224,763,none
2002,North Carolina,48051,942,none
2002,North Dakota,47637,1084,none
2002,Ohio,56169,1022,none
2002,Oklahoma,47976,807,none
2002,Oregon,55008,1125,none
2002,Pennsylvania,55924,1046,none
2002,Rhode Island,55818,1151,none
2002,South Carolina,49758,1611,none
2002,South Dakota,49838,1254,none
2002,Tennessee,48729,1462,none
2002,Texas,52833,741,none
2002,Utah,62982,1508,none
2002,Vermont,56584,1092,none
2002,Virginia,65311,1698,none
2002,Washington,59458,1269,none
2002,West Virginia,38634,920,none
2002,Wisconsin,60405,1245,none
2001,United States,56466,172,none
2001,Alabama,47015,1345,none
2001,Alaska,76705,2690,none
2001,Arizona,57103,1927,none
2001,Arkansas,44580,1530,none
2001,California,63198,972,none
